Track,Racer,Rank,Ghost,Status
C156,"Alan Rotoi",13,0,EX3
C156,afullo,14,0,EX3
C157,Duplode,1,0,
C157,CTG,2,0,MSC
C157,"Bonzai Joe",3,0,
C157,"Akoss Poo",4,0,
C157,Usrin,5,0,
C157,dreadnaut,6,0,
C157,"Zak McKracken",7,0,
C157,"Rokker Zsolti",8,1,
C157,"Boller Jani",9,1,
C157,AbuRaf70,10,0,
C157,"Alan Rotoi",11,0,
C157,Mingva,12,0,
C157,afullo,13,0,
C157,dstien,14,0,
C157,satanziege,15,0,
C158,Duplode,1,0,
C158,CTG,2,0,MSC
C158,"Akoss Poo",3,0,
C158,"Bonzai Joe",4,0,
C158,"Rokker Zsolti",5,1,
C158,"Boller Jani",6,1,
C158,AbuRaf70,7,0,
C158,dreadnaut,8,0,
C158,"Alan Rotoi",9,0,
C158,SuperBrian,10,0,
C158,"Zak McKracken",11,0,
C158,dstien,12,0,
C158,afullo,13,0,
C158,Böbszlee,14,0,
C158,Usrin,15,0,
C158,gigi,16,1,
C159,"Akoss Poo",1,0,
C159,CTG,2,0,MSC
C159,Duplode,3,0,
C159,SuperBrian,4,0,
C159,"Boller Jani",5,1,
C159,"Rokker Zsolti",6,1,
C159,dreadnaut,7,0,
C159,Usrin,8,0,
C159,AbuRaf70,9,0,
C159,dstien,10,0,
C159,Mingva,11,0,
C159,afullo,12,0,
C159,"Alan Rotoi",13,0,EX3
C160,CTG,1,0,MSC
C160,"Akoss Poo",2,0,
C160,"Rokker Zsolti",3,1,
C160,Duplode,4,0,
C160,"Boller Jani",5,1,
C160,dreadnaut,6,0,
C160,AbuRaf70,7,0,
C160,dstien,8,0,
C160,afullo,9,0,EX3
C160,Usrin,10,0,EX3
C161,"Akoss Poo",1,0,
C161,Duplode,2,0,
C161,SuperBrian,3,0,
C161,dreadnaut,4,0,
C161,"Rokker Zsolti",5,1,
C161,"Boller Jani",6,1,
C161,Mingva,7,0,
C161,AbuRaf70,8,0,
C161,dstien,9,0,
C161,afullo,10,0,
C162,Duplode,1,0,
C162,CTG,2,0,
C162,"Akoss Poo",3,0,
C162,"Alan Rotoi",4,0,
C162,"Zak McKracken",5,0,
C162,Usrin,6,0,
C162,Marco,7,0,
C162,dreadnaut,8,0,
C162,dstien,9,0,
C162,"Shoegazing Leo",10,0,
C162,AbuRaf70,11,0,
C162,kahdra,12,0,
C162,afullo,13,0,
C162,gtament,14,0,
C163,"Akoss Poo",1,0,
C163,Duplode,2,0,
C163,CTG,3,0,
C163,Marco,4,0,
C163,Usrin,5,0,
C163,"Alan Rotoi",6,0,
C163,"Zak McKracken",7,0,
C163,AbuRaf70,8,0,
C163,dreadnaut,9,0,
C163,"Shoegazing Leo",10,0,
C163,dstien,11,0,
C163,afullo,12,0,
C163,"Mr. Stunt",13,0,EX3
C163,Vector,14,1,EX1
C164,"Akoss Poo",1,0,
C164,"Bonzai Joe",2,0,
C164,Duplode,3,0,
C164,Marco,4,0,
C164,"Zak McKracken",5,0,
C164,AbuRaf70,6,0,
C164,Usrin,7,0,
C164,SuperBrian,8,0,
C164,"Shoegazing Leo",9,0,
C164,Cas,10,0,
C164,dreadnaut,11,0,
C164,dstien,12,0,
C164,afullo,13,0,
C164,"Alan Rotoi",14,0,
C164,AMG,15,0,
C164,"Mr. Stunt",16,0,
C165,"Akoss Poo",1,0,
C165,Duplode,2,0,
C165,Marco,3,0,
C165,Usrin,4,0,
C165,"Zak McKracken",5,0,
C165,AbuRaf70,6,0,
C165,dreadnaut,7,0,
C165,dstien,8,0,
C165,"Shoegazing Leo",9,0,
C165,"Alan Rotoi",10,0,
C165,Cas,11,0,
C165,afullo,12,0,
C166,Duplode,1,0,
C166,"Akoss Poo",2,0,
C166,"Alan Rotoi",3,0,
C166,AbuRaf70,4,0,
C166,Usrin,5,0,
C166,Marco,6,0,
C166,Cas,7,0,
C166,dstien,8,0,
C166,"Shoegazing Leo",9,0,
C166,dreadnaut,10,0,
C166,Svenne,11,0,
C166,afullo,12,0,
C167,Duplode,1,0,
C167,"Akoss Poo",2,0,
C167,Marco,3,0,
C167,Shorty,4,0,
C167,AbuRaf70,5,0,
C167,dreadnaut,6,0,
C167,"Shoegazing Leo",7,0,
C167,Usrin,8,0,
C167,dstien,9,0,
C167,Cas,10,0,
C167,Svenne,11,0,
C167,afullo,12,0,
C167,kahdra,13,0,
C168,"Akoss Poo",1,0,
C168,Duplode,1,0,
C168,Marco,3,0,
C168,"Zak McKracken",4,0,
C168,Usrin,5,0,
C168,dreadnaut,6,0,
C168,AbuRaf70,7,0,
C168,dstien,8,0,
C168,"Shoegazing Leo",9,0,
C168,PJ,10,0,
C168,"Alan Rotoi",11,0,
C168,Shorty,12,0,
C168,afullo,13,0,
C168,kahdra,14,0,
C169,"Akoss Poo",1,0,
C169,Marco,2,0,
C169,AbuRaf70,3,0,
C169,Duplode,4,0,
C169,Usrin,5,0,
C169,"Zak McKracken",6,0,
C169,"Shoegazing Leo",7,0,
C169,Shorty,8,0,
C169,dreadnaut,9,0,
C169,dstien,10,0,
C169,PJ,11,0,
C169,Cas,12,0,
C169,afullo,13,0,
C169,Kjotleik,14,0,
C170,Duplode,1,0,
C170,"Akoss Poo",2,0,
C170,Marco,3,0,
C170,"Zak McKracken",4,0,
C170,AbuRaf70,5,0,
C170,dreadnaut,6,0,
C170,Cas,7,0,
C170,dstien,8,0,
C170,Usrin,9,0,
C170,"Shoegazing Leo",10,0,
C170,PJ,11,0,
C170,Kjotleik,12,0,
C170,afullo,13,0,
C170,SimpleM,14,0,
C170,Shorty,15,0,EX3
C171,Duplode,1,0,
C171,"Alan Rotoi",2,0,
C171,AbuRaf70,3,0,
C171,"Akoss Poo",4,0,
C171,Marco,5,0,
C171,dreadnaut,6,0,
C171,"Shoegazing Leo",7,0,
C171,dstien,8,0,
C171,Shorty,9,0,
C171,Kjotleik,10,0,
C171,Cas,11,0,
C171,afullo,12,0,
C172,Duplode,1,0,
C172,"Akoss Poo",2,0,
C172,Usrin,3,0,
C172,Marco,4,0,
C172,dreadnaut,5,0,
C172,AbuRaf70,6,0,
C172,"Alan Rotoi",7,0,
C172,"Zak McKracken",8,0,
C172,"Shoegazing Leo",9,0,
C172,dstien,10,0,
C172,PJ,11,0,
C172,afullo,12,0,
C172,Drathas,13,0,EX1
C173,Duplode,1,0,
C173,Marco,2,0,
C173,"Akoss Poo",3,0,
C173,Usrin,4,0,
C173,AbuRaf70,5,0,
C173,"Alan Rotoi",6,0,
C173,dreadnaut,7,0,
C173,"Zak McKracken",8,0,
C173,dhoine,9,0,
C173,"Shoegazing Leo",10,0,
C173,dstien,11,0,
C173,afullo,12,0,
C173,satanziege,13,0,
C174,"Renato Biker",1,0,
C174,Friker,2,0,
C174,Marco,3,0,
C174,Duplode,4,0,
C174,"Zak McKracken",5,0,
C174,dreadnaut,6,0,
C174,AbuRaf70,7,0,
C174,"Alan Rotoi",8,0,
C174,"Shoegazing Leo",9,0,
C174,dstien,10,0,
C174,dhoine,11,0,
C174,afullo,12,0,
C175,"Renato Biker",1,0,
C175,Friker,2,0,
C175,Duplode,3,0,
C175,Marco,4,0,
C175,dreadnaut,5,0,
C175,"Zak McKracken",6,0,
C175,dosbox92,7,0,
C175,AbuRaf70,8,0,
C175,dstien,9,0,
C175,"Shoegazing Leo",10,0,
C175,Cas,11,0,
C175,afullo,12,0,
C176,"Renato Biker",1,0,
C176,Friker,2,0,
C176,dreadnaut,3,0,
C176,Duplode,4,0,
C176,Marco,5,0,
C176,"Alan Rotoi",6,0,
C176,"Zak McKracken",7,0,
C176,FinRok,8,0,
C176,dosbox92,9,0,
C176,AbuRaf70,10,0,
C176,dstien,11,0,
C176,"Shoegazing Leo",12,0,
C176,afullo,13,0,
C177,"Renato Biker",1,0,
C177,Duplode,2,0,
C177,Friker,3,0,
C177,Marco,4,0,
C177,FinRok,5,0,
C177,"Zak McKracken",6,0,
C177,AbuRaf70,7,0,
C177,dreadnaut,8,0,
C177,"Shoegazing Leo",9,0,
C177,dstien,10,0,
C177,afullo,11,0,
C178,Duplode,1,0,
C178,"Renato Biker",2,0,
C178,Friker,3,0,
C178,AbuRaf70,4,0,
C178,Marco,5,0,
C178,dstien,6,0,
C178,dreadnaut,7,0,
C178,"Shoegazing Leo",8,0,EX3
C178,FinRok,9,0,EX2
C178,afullo,10,0,EX3
C179,"Renato Biker",1,0,
C179,"Bonzai Joe",2,0,
C179,Duplode,3,0,
C179,Marco,4,0,
C179,FinRok,5,0,
C179,"Zak McKracken",6,0,
C179,AbuRaf70,7,0,
C179,dreadnaut,8,0,
C179,"Shoegazing Leo",9,0,
C179,afullo,10,0,
C180,"Renato Biker",1,0,
C180,Duplode,2,0,
C180,Friker,3,0,
C180,Marco,4,0,
C180,dreadnaut,5,0,
C180,FinRok,6,0,
C180,AbuRaf70,7,0,
C180,"Zak McKracken",8,0,
C180,dstien,9,0,
C180,"Shoegazing Leo",10,0,
C180,ninja750,11,0,
C180,Wanted77,12,0,EX2
C180,afullo,13,0,EX3
C181,Duplode,1,0,
C181,"Renato Biker",2,0,
C181,Marco,3,0,
C181,"Akoss Poo",4,0,
C181,AbuRaf70,5,0,
C181,FinRok,6,0,
C181,dreadnaut,7,0,
C181,Cas,8,0,
C181,"Shoegazing Leo",9,0,
C181,afullo,10,0,EX3
C182,Marco,1,0,
C182,Duplode,2,0,
C182,"Renato Biker",3,0,
C182,FinRok,4,0,
C182,"Akoss Poo",5,0,
C182,"Zak McKracken",6,0,
C182,dreadnaut,7,0,
C182,AbuRaf70,8,0,
C182,"Alan Rotoi",9,0,
C182,Cas,10,0,
C182,"Shoegazing Leo",11,0,
C182,afullo,12,0,
C183,Marco,1,0,
C183,FinRok,2,0,
C183,"Renato Biker",3,0,
C183,Duplode,4,0,
C183,dreadnaut,5,0,
C183,Cas,6,0,
C183,NachitoBP,7,0,
C183,AbuRaf70,8,0,
C183,"Zak McKracken",9,0,
C183,"Shoegazing Leo",10,0,
C183,Gilmash,11,0,
C183,OctaLM,12,0,
C183,Lulisa,13,0,
C183,afullo,14,0,EX3
C184,Marco,1,0,
C184,Duplode,2,0,
C184,FinRok,3,0,
C184,CTG,4,0,
C184,AbuRaf70,5,0,
C184,Cas,6,0,
C184,dreadnaut,7,0,
C184,"Shoegazing Leo",8,0,
C184,afullo,9,0,
C184,Alecu,10,0,EX3
C185,Marco,1,0,
C185,FinRok,2,0,
C185,Duplode,3,0,
C185,dreadnaut,4,0,
C185,"Renato Biker",5,0,
C185,"Zak McKracken",6,0,
C185,"Shoegazing Leo",7,0,
C185,Cas,8,0,
C185,AbuRaf70,9,0,
C185,satanziege,10,0,
C185,afullo,11,0,
C186,FinRok,1,0,
C186,Friker,2,0,
C186,Duplode,3,0,
C186,"Alan Rotoi",4,0,
C186,dreadnaut,5,0,
C186,dosbox92,6,0,
C186,"Zak McKracken",7,0,
C186,MOE,8,0,
C186,Cas,9,0,
C186,Imperas,10,0,
C186,"Shoegazing Leo",11,0,
C186,afullo,12,0,
C187,Marco,1,0,
C187,FinRok,2,0,
C187,Friker,3,0,
C187,Duplode,4,0,
C187,"Alan Rotoi",5,0,
C187,dreadnaut,6,0,
C187,Imperas,7,0,
C187,"Zak McKracken",8,0,
C187,"Shoegazing Leo",9,0,
C187,Cas,10,0,
C187,arturbmallman,11,0,
C187,afullo,12,0,
C188,FinRok,1,0,
C188,Duplode,2,0,
C188,Marco,3,0,
C188,dreadnaut,4,0,
C188,"Zak McKracken",5,0,
C188,Imperas,6,0,
C188,"Alan Rotoi",7,0,
C188,Cas,8,0,
C188,arturbmallman,9,0,
C188,"Shoegazing Leo",10,0,
C188,afullo,11,0,
C188,emandrada,12,0,EX1
C189,FinRok,1,0,
C189,Duplode,2,0,
C189,Marco,3,0,
C189,"Bonzai Joe",4,0,
C189,"Alan Rotoi",5,0,
C189,dreadnaut,6,0,
C189,Imperas,7,0,
C189,Cas,8,0,
C189,"Shoegazing Leo",9,0,
C189,arturbmallman,10,0,
C189,Motig,11,0,
C189,afullo,12,0,
C190,Duplode,1,0,
C190,FinRok,2,0,
C190,dreadnaut,3,0,
C190,Imperas,4,0,
C190,arturbmallman,5,0,
C190,KaoS,6,0,EX2
C190,Cas,7,0,
C190,"Shoegazing Leo",8,0,
C190,afullo,9,0,EX3
C190,Motig,10,0,EX3
C191,Duplode,1,0,
C191,FinRok,2,0,
C191,dreadnaut,3,0,
C191,Imperas,4,0,
C191,"Zak McKracken",5,0,
C191,arturbmallman,6,0,
C191,"Shoegazing Leo",7,0,
C191,Cas,8,0,
C191,Marco,9,0,EX2
C191,KaoS,10,0,EX2
C191,afullo,11,0,EX2
C192,Marco,1,0,
C192,FinRok,2,0,
C192,Duplode,3,0,
C192,Imperas,4,0,
C192,arturbmallman,5,0,
C192,dreadnaut,6,0,
C192,Seeker1982,7,0,
C192,Nilex,8,0,
C192,"Shoegazing Leo",9,0,
C192,Motig,10,0,
C192,afullo,11,0,EX1
C193,FinRok,1,0,
C193,Duplode,2,0,
C193,dreadnaut,3,0,
C193,Imperas,4,0,
C193,Seeker1982,5,0,
C193,Marco,6,0,EX2
C193,Cas,7,0,
C193,"Shoegazing Leo",8,0,
C193,dosbox92,9,0,EX2
C193,afullo,10,0,
C194,dreadnaut,1,0,
C194,Duplode,2,0,
C194,FinRok,3,0,
C194,Imperas,4,0,
C194,Marco,5,0,
C194,Cas,6,0,
C194,arturbmallman,7,0,
C194,Seeker1982,8,0,
C194,"Shoegazing Leo",9,0,
C194,dosbox92,10,0,
C194,afullo,11,0,
C195,FinRok,1,0,
C195,dreadnaut,2,0,
C195,Duplode,3,0,
C195,Seeker1982,4,0,
C195,Cas,5,0,
C195,"Shoegazing Leo",6,0,
C195,Motig,7,0,
C195,Motorhead86,8,0,
C195,afullo,9,0,
C196,FinRok,1,0,
C196,Marco,2,0,
C196,Seeker1982,3,0,
C196,Duplode,4,0,
C196,dreadnaut,5,0,
C196,Cas,6,0,
C196,Smrtka,7,0,
C196,"Shoegazing Leo",8,0,
C196,afullo,9,0,
C196,satanziege,10,0,
C197,Duplode,1,0,
C197,FinRok,2,0,
C197,Marco,3,0,
C197,Seeker1982,4,0,
C197,dreadnaut,5,0,
C197,Cas,6,0,
C197,"Shoegazing Leo",7,0,
C197,afullo,8,0,
C197,Smrtka,9,0,
C197,Motig,10,0,
C198,Duplode,1,0,
C198,Imperas,2,0,
C198,dreadnaut,3,0,
C198,Seeker1982,4,0,
C198,afullo,5,0,
C198,Cas,6,0,
C198,"Shoegazing Leo",7,0,
C198,Motig,8,0,
C198,Svenne,9,0,EX3
C199,Duplode,1,0,
C199,Seeker1982,2,0,
C199,dreadnaut,3,0,
C199,afullo,4,0,
C199,Cas,5,0,
C199,"Shoegazing Leo",6,0,
C199,Motig,7,0,
C199,chenlei,8,0,
C199,BernieR,9,0,
C200,CTG,1,0,
C200,Duplode,2,0,
C200,FinRok,3,0,
C200,Seeker1982,4,0,
C200,"Zak McKracken",5,0,
C200,dreadnaut,6,0,
C200,arturbmallman,7,0,
C200,afullo,8,0,
C200,Cas,9,0,
C200,"Shoegazing Leo",10,0,
C200,"Alan Rotoi",11,0,EX3
C200,Motig,12,0,EX3
C201,FinRok,1,0,
C201,Duplode,2,0,
C201,CTG,3,0,
C201,dreadnaut,4,0,
C201,Seeker1982,5,0,
C201,afullo,6,0,
C201,Cas,7,0,
C201,"Alan Rotoi",8,0,
C201,arturbmallman,9,0,
C201,"Shoegazing Leo",10,0,
C201,GTAMan15,11,0,
C201,KaoS,12,0,EX2
C201,Motig,13,0,
C202,"Alan Rotoi",1,0,
C202,FinRok,2,0,
C202,Duplode,3,0,
C202,Seeker1982,4,0,
C202,afullo,5,0,
C202,Cas,6,0,
C202,dreadnaut,7,0,
C202,Swotl,8,0,
C202,arturbmallman,9,0,
C202,"Shoegazing Leo",10,0,
C202,GTAMan15,11,0,
C202,Marco,12,0,EX2
C202,Motig,13,0,
C202,Chacan,14,0,
C203,Duplode,1,0,
C203,Seeker1982,2,0,
C203,"Alan Rotoi",3,0,
C203,dreadnaut,4,0,
C203,arturbmallman,5,0,
C203,afullo,6,0,
C203,Cas,7,0,
C203,Swotl,8,0,
C203,"Shoegazing Leo",9,0,
C203,GTAMan15,10,0,
C203,Motig,11,0,
C204,Duplode,1,0,
C204,Seeker1982,2,0,
C204,dreadnaut,3,0,
C204,"Zak McKracken",4,0,
C204,afullo,5,0,
C204,"Shoegazing Leo",6,0,
C204,Cas,7,0,
C204,GTAMan15,8,0,
C204,"Alan Rotoi",9,0,EX3
C205,CTG,1,0,
C205,Seeker1982,2,0,
C205,dreadnaut,3,0,
C205,Duplode,4,0,
C205,Cas,5,0,
C205,afullo,6,0,
C205,"Shoegazing Leo",7,0,
C205,Motig,8,0,
C206,Duplode,1,0,
C206,CTG,2,0,
C206,dreadnaut,3,0,
C206,Overdrijf,4,0,
C206,Seeker1982,5,0,
C206,afullo,6,0,
C206,Cas,7,0,
C206,arturbmallman,8,0,
C206,"Shoegazing Leo",9,0,
C207,CTG,1,0,
C207,Duplode,2,0,
C207,"Akoss Poo",3,0,
C207,dreadnaut,4,0,
C207,Overdrijf,5,0,
C207,Seeker1982,6,0,
C207,dosbox92,7,0,
C207,afullo,8,0,
C207,Cas,9,0,
C207,KaoS,10,0,EX3
C207,"Shoegazing Leo",11,0,
C208,CTG,1,0,
C208,Duplode,2,0,
C208,dreadnaut,3,0,
C208,"Alan Rotoi",4,0,
C208,Seeker1982,5,0,
C208,Overdrijf,6,0,
C208,afullo,7,0,
C208,"Shoegazing Leo",8,0,
C208,Cas,9,0,
C208,Motig,10,0,
C208,GTAMan15,11,0,
C209,FinRok,1,0,
C209,CTG,2,0,
C209,Duplode,3,0,
C209,dreadnaut,4,0,
C209,Seeker1982,5,0,
C209,"Akoss Poo",6,0,
C209,"Alan Rotoi",7,0,
C209,Overdrijf,8,0,
C209,Cas,9,0,
C209,afullo,9,0,
C209,Heretic,11,0,
C209,"Shoegazing Leo",12,0,
C209,KaoS,13,0,EX2
C209,Motig,14,0,
C209,GTAMan15,15,0,
C209,"Stan 286XT",16,0,EX3
C210,dreadnaut,1,0,
C210,Marco,2,0,
C210,CTG,3,0,
C210,Overdrijf,4,0,
C210,"Alan Rotoi",5,0,
C210,Duplode,6,0,
C210,Seeker1982,7,0,
C210,Heretic,8,0,
C210,afullo,9,0,
C210,Cas,10,0,
C210,"Shoegazing Leo",11,0,
C210,Smrtka,12,0,
C210,Motig,13,0,
C210,"Stan 286XT",14,0,EX3
C211,Marco,1,0,
C211,Seeker1982,2,0,
C211,Duplode,3,0,
C211,dreadnaut,4,0,
C211,Overdrijf,5,0,
C211,Heretic,6,0,
C211,afullo,7,0,
C211,sd4000,8,0,
C211,Cas,9,0,
C211,Usrin,10,0,
C211,arturbmallman,11,0,
C211,"Shoegazing Leo",12,0,
C211,fx_undertaker,13,0,
C211,Motig,14,0,
C211,"Stan 286XT",15,0,EX3
C212,FinRok,1,0,
C212,Marco,2,0,
C212,CTG,3,0,
C212,Duplode,4,0,
C212,Seeker1982,5,0,
C212,Overdrijf,6,0,
C212,dreadnaut,7,0,
C212,afullo,8,0,
C212,Heretic,9,0,
C212,Cas,10,0,
C212,sd4000,11,0,
C212,"Shoegazing Leo",12,0,
C212,"Stan 286XT",13,0,EX3
C213,FinRok,1,0,
C213,Marco,2,0,
C213,Duplode,3,0,
C213,Overdrijf,4,0,
C213,dreadnaut,5,0,
C213,Seeker1982,6,0,
C213,CTG,7,0,
C213,afullo,8,0,
C213,Cas,9,0,
C213,sd4000,10,0,
C213,"Shoegazing Leo",11,0,
C213,Heretic,12,0,
C213,"Stan 286XT",13,0,EX3
C214,FinRok,1,0,
C214,Overdrijf,2,0,
C214,Marco,3,0,
C214,Duplode,4,0,
C214,Gutix,5,0,
C214,dreadnaut,6,0,
C214,Seeker1982,7,0,
C214,Heretic,8,0,
C214,Cas,9,0,
C214,afullo,10,0,
C214,KaoS,11,0,
C214,"Shoegazing Leo",12,0,
C214,GTAMan15,13,0,
C214,"Stan 286XT",14,0,EX2
C214,sd4000,15,0,
C215,Overdrijf,1,0,
C215,Seeker1982,2,0,
C215,Marco,3,0,
C215,dreadnaut,4,0,
C215,Duplode,5,0,
C215,"Alan Rotoi",6,0,
C215,afullo,7,0,
C215,"Shoegazing Leo",8,0,
C215,GTAMan15,9,0,
C215,Cas,10,0,
C215,sd4000,11,0,
C215,Heretic,12,0,
C215,"Stan 286XT",13,0,EX2
C216,Marco,1,0,
C216,Duplode,2,0,
C216,Seeker1982,3,0,
C216,Overdrijf,4,0,
C216,afullo,5,0,
C216,dreadnaut,6,0,
C216,Cas,7,0,
C216,GTAMan15,8,0,
C216,Heretic,9,0,
C216,"Shoegazing Leo",10,0,
C216,sd4000,11,0,
C216,Motig,12,0,
C216,"Stan 286XT",13,0,EX3
C217,Duplode,1,0,
C217,Marco,2,0,
C217,Overdrijf,3,0,
C217,Seeker1982,4,0,
C217,dreadnaut,5,0,
C217,dosbox92,6,0,
C217,Cas,7,0,
C217,afullo,8,0,
C217,Heretic,9,0,
C217,sd4000,10,0,
C217,"Shoegazing Leo",11,0,
C217,satanziege,12,0,
C217,"Stan 286XT",13,0,EX3
C218,Marco,1,0,
C218,dreadnaut,2,0,
C218,"Alan Rotoi",3,0,
C218,Duplode,4,0,
C218,Seeker1982,5,0,
C218,Overdrijf,6,0,
C218,dosbox92,7,0,
C218,afullo,8,0,
C218,Heretic,9,0,
C218,Cas,10,0,
C218,sd4000,11,0,
C218,"Shoegazing Leo",12,0,
C218,"Stan 286XT",13,0,EX3
C218,Motig,14,0,
C219,"Alan Rotoi",1,0,
C219,Duplode,2,0,
C219,Seeker1982,3,0,
C219,Overdrijf,4,0,
C219,Marco,5,0,
C219,dreadnaut,6,0,
C219,Cas,7,0,
C219,Stingray86,8,0,
C219,afullo,8,0,
C219,Heretic,10,0,
C219,sd4000,11,0,
C219,"Shoegazing Leo",12,0,
C219,"Stan 286XT",13,0,EX3
C220,CTG,1,0,
C220,Seeker1982,2,0,
C220,Overdrijf,3,0,
C220,dreadnaut,4,0,
C220,Duplode,5,0,
C220,Stingray86,6,0,
C220,Cas,7,0,
C220,afullo,8,0,
C220,Heretic,9,0,
C220,sd4000,10,0,
C220,"Shoegazing Leo",11,0,
C220,"Alan Rotoi",12,0,EX3
C220,"Stan 286XT",13,0,EX3
C221,FinRok,1,0,
C221,Overdrijf,2,0,
C221,CTG,3,0,
C221,Duplode,4,0,
C221,Seeker1982,5,0,
C221,Stingray86,6,0,
C221,dreadnaut,7,0,
C221,Heretic,8,0,
C221,afullo,9,0,
C221,sd4000,10,0,
C221,"Shoegazing Leo",11,0,
C221,Marco,12,0,EX2
C221,Cas,13,0,
C221,GTAMan15,14,0,EX3
C221,"Stan 286XT",15,0,EX2
C222,Duplode,1,0,
C222,Seeker1982,2,0,
C222,dreadnaut,3,0,
C222,Overdrijf,3,0,
C222,Stingray86,5,0,
C222,Heretic,6,0,
C222,afullo,7,0,
C222,KaoS,8,0,EX2
C222,"Shoegazing Leo",9,0,
C222,sd4000,10,0,
C222,Cas,11,0,
C222,satanziege,12,0,
C222,"Stan 286XT",13,0,EX3
C223,Duplode,1,0,
C223,Seeker1982,2,0,
C223,CTG,3,0,
C223,Stingray86,4,0,
C223,Overdrijf,5,0,
C223,Marco,6,0,EX2
C223,dreadnaut,7,0,
C223,afullo,8,0,
C223,KaoS,9,0,EX2
C223,Cas,10,0,
C223,sd4000,11,0,
C223,"Shoegazing Leo",12,0,
C223,HL96T,13,0,
C223,"Stan 286XT",14,0,EX2
C224,Duplode,1,0,
C224,"Alan Rotoi",2,0,
C224,CTG,3,0,
C224,dreadnaut,4,0,
C224,Stingray86,5,0,
C224,Overdrijf,6,0,
C224,Heretic,7,0,
C224,Seeker1982,8,0,
C224,afullo,9,0,
C224,Cas,10,0,
C224,KaoS,11,0,EX2
C224,sd4000,12,0,
C224,HL96T,13,0,
C224,"Shoegazing Leo",14,0,
C224,"Stan 286XT",15,0,
C225,Seeker1982,1,0,
C225,Overdrijf,2,0,
C225,Duplode,3,0,
C225,CTG,4,0,
C225,Stingray86,5,0,
C225,dreadnaut,6,0,
C225,Heretic,7,0,
C225,afullo,8,0,
C225,Cas,9,0,
C225,sd4000,10,0,
C225,"Shoegazing Leo",11,0,
C225,KaoS,12,0,EX2
C225,"Stan 286XT",13,0,EX2
C226,Duplode,1,0,
C226,Seeker1982,2,0,
C226,Overdrijf,3,0,
C226,CTG,4,0,
C226,dreadnaut,5,0,
C226,Stingray86,6,0,
C226,Marco,7,0,EX2
C226,KaoS,8,0,EX2
C226,afullo,9,0,
C226,Heretic,10,0,
C226,"Alan Rotoi",11,0,
C226,Cas,12,0,EX3
C226,"Shoegazing Leo",13,0,
C226,"Stan 286XT",14,0,EX2
C226,Chacan,15,0,EX3
C227,CTG,1,0,
C227,Seeker1982,2,0,
C227,Duplode,3,0,
C227,dreadnaut,4,0,
C227,Overdrijf,5,0,
C227,Stingray86,6,0,
C227,Heretic,7,0,
C227,afullo,8,0,
C227,Cas,9,0,
C227,JoSi,10,0,
C227,"Shoegazing Leo",11,0,
C227,"Stan 286XT",12,0,
C228,Duplode,1,0,
C228,Seeker1982,2,0,
C228,dreadnaut,3,0,
C228,"Alan Rotoi",4,0,
C228,Stingray86,5,0,
C228,Overdrijf,6,0,
C228,Heretic,7,0,
C228,afullo,8,0,
C228,"Shoegazing Leo",9,0,
C228,Cas,10,0,EX3
C228,"Stan 286XT",11,0,EX3
C229,FinRok,1,0,
C229,Duplode,2,0,
C229,Marco,3,0,
C229,CTG,4,0,
C229,Seeker1982,5,0,
C229,"Alan Rotoi",6,0,
C229,Stingray86,7,0,
C229,Heretic,8,0,
C229,Overdrijf,9,0,
C229,dreadnaut,10,0,
C229,afullo,11,0,
C229,KyLiE,12,0,
C229,KaoS,13,0,EX2
C229,Straycat,14,0,
C229,Cas,15,0,
C229,"Shoegazing Leo",16,0,
C229,"Zak McKracken",17,0,EX2
C229,GTAMan15,18,0,
C229,"Stan 286XT",19,0,
C230,Duplode,1,0,
C230,CTG,2,0,
C230,Seeker1982,3,0,
C230,KyLiE,4,0,
C230,Heretic,5,0,
C230,dreadnaut,6,0,
C230,Stingray86,7,0,
C230,Overdrijf,8,0,
C230,"Alan Rotoi",9,0,
C230,afullo,10,0,
C230,"Zak McKracken",11,0,EX2
C230,"Shoegazing Leo",12,0,
C230,Cas,13,0,
C230,Straycat,14,0,
C230,"Stan 286XT",15,0,EX3
C231,CTG,1,0,
C231,"Alan Rotoi",2,0,
C231,Overdrijf,3,0,
C231,Seeker1982,4,0,
C231,dreadnaut,5,0,
C231,Duplode,6,0,
C231,Stingray86,7,0,
C231,Heretic,8,0,
C231,KyLiE,9,0,
C231,afullo,10,0,
C231,Straycat,11,0,
C231,Cas,12,0,
C231,KaoS,13,0,EX2
C231,"Shoegazing Leo",14,0,
C231,"Stan 286XT",15,0,EX2
C232,CTG,1,0,
C232,Duplode,2,0,
C232,dreadnaut,3,0,
C232,Overdrijf,4,0,
C232,Seeker1982,5,0,
C232,afullo,6,0,
C232,Heretic,7,0,
C232,KyLiE,8,0,
C232,Stingray86,9,0,
C232,KaoS,10,0,EX2
C232,Straycat,11,0,
C232,"Shoegazing Leo",12,0,
C232,Cas,13,0,
C232,GTAMan15,14,0,
C232,"Stan 286XT",15,0,EX3
C233,Duplode,1,0,
C233,CTG,2,0,
C233,Seeker1982,3,0,
C233,Overdrijf,4,0,
C233,dreadnaut,5,0,
C233,Stingray86,6,0,
C233,KyLiE,7,0,
C233,Heretic,8,0,
C233,afullo,9,0,
C233,Straycat,10,0,
C233,Cas,11,0,
C233,"Zak McKracken",12,0,
